DATE,PRCP
20130101,0.00
20130102,0.00
20130103,0.00
20130104,0.00
20130105,0.00
20130106,0.00
20130107,0.00
20130108,0.00
20130109,0.00
20130110,0.00
20130111,0.49
20130112,0.05
20130113,0.00
20130114,0.06
20130115,0.11
20130116,0.67
20130117,0.00
20130118,0.00
20130119,0.00
20130120,0.00
20130121,0.00
20130122,0.00
20130123,0.00
20130124,0.00
20130125,0.04
20130126,0.00
20130127,0.00
20130128,0.22
20130129,0.09
20130130,0.03
20130131,0.88
20130201,0.00
20130202,0.01
20130203,0.03
20130204,0.00
20130205,0.02
20130206,0.00
20130207,0.00
20130208,0.67
20130209,0.22
20130210,0.00
20130211,0.52
20130212,0.00
20130213,0.02
20130214,0.00
20130215,0.00
20130216,0.02
20130217,0.00
20130218,0.00
20130219,0.16
20130220,0.00
20130221,0.00
20130222,0.00
20130223,0.27
20130224,0.03
20130225,0.00
20130226,0.12
20130227,1.11
20130228,0.00
20130301,0.00
20130302,0.00
20130303,0.00
20130304,0.00
20130305,0.00
20130306,0.00
20130307,0.13
20130308,0.25
20130309,0.00
20130310,0.00
20130311,0.00
20130312,0.79
20130313,0.00
20130314,0.00
20130315,0.00
20130316,0.08
20130317,0.00
20130318,0.56
20130319,0.32
20130320,0.00
20130321,0.00
20130322,0.00
20130323,0.00
20130324,0.00
20130325,0.16
20130326,0.00
20130327,0.00
20130328,0.00
20130329,0.00
20130330,0.00
20130331,0.14
20130401,0.01
20130402,0.00
20130403,0.00
20130404,0.00
20130405,0.00
20130406,0.00
20130407,0.00
20130408,0.00
20130409,0.01
20130410,0.41
20130411,0.00
20130412,0.57
20130413,0.01
20130414,0.00
20130415,0.00
20130416,0.00
20130417,0.02
20130418,0.01
20130419,0.02
20130420,0.06
20130421,0.00
20130422,0.00
20130423,0.00
20130424,0.00
20130425,0.00
20130426,0.00
20130427,0.00
20130428,0.00
20130429,0.03
20130430,0.00
20130501,0.00
20130502,0.00
20130503,0.00
20130504,0.00
20130505,0.00
20130506,0.00
20130507,0.00
20130508,2.28
20130509,0.38
20130510,0.00
20130511,0.64
20130512,0.01
20130513,0.00
20130514,0.00
20130515,0.02
20130516,0.00
20130517,0.00
20130518,0.00
20130519,0.43
20130520,0.00
20130521,0.00
20130522,0.00
20130523,0.53
20130524,0.23
20130525,0.06
20130526,0.00
20130527,0.00
20130528,0.41
20130529,0.00
20130530,0.00
20130531,0.00
20130601,0.00
20130602,0.11
20130603,0.96
20130604,0.00
20130605,0.00
20130606,0.10
20130607,3.33
20130608,0.79
20130609,0.00
20130610,1.25
20130611,0.14
20130612,0.00
20130613,0.88
20130614,0.25
20130615,0.00
20130616,0.00
20130617,0.00
20130618,0.20
20130619,0.00
20130620,0.00
20130621,0.00
20130622,0.00
20130623,0.00
20130624,0.00
20130625,0.01
20130626,0.01
20130627,0.13
20130628,0.00
20130629,0.00
20130630,0.00
20130701,0.73
20130702,0.06
20130703,0.96
20130704,0.00
20130705,0.00
20130706,0.00
20130707,0.00
20130708,0.00
20130709,0.06
20130710,0.02
20130711,0.00
20130712,0.22
20130713,0.02
20130714,0.00
20130715,0.00
20130716,0.00
20130717,0.00
20130718,0.00
20130719,0.00
20130720,0.00
20130721,0.00
20130722,0.27
20130723,0.31
20130724,0.00
20130725,0.02
20130726,0.00
20130727,0.00
20130728,0.13
20130729,0.00
20130730,0.00
20130731,0.00
20130801,0.50
20130802,0.00
20130803,0.01
20130804,0.00
20130805,0.00
20130806,0.00
20130807,0.01
20130808,0.20
20130809,0.07
20130810,0.00
20130811,0.00
20130812,0.09
20130813,0.74
20130814,0.00
20130815,0.00
20130816,0.00
20130817,0.00
20130818,0.00
20130819,0.00
20130820,0.00
20130821,0.00
20130822,0.24
20130823,0.00
20130824,0.00
20130825,0.00
20130826,0.00
20130827,0.01
20130828,0.10
20130829,0.00
20130830,0.00
20130831,0.00
20130901,0.00
20130902,0.90
20130903,0.09
20130904,0.00
20130905,0.00
20130906,0.00
20130907,0.00
20130908,0.00
20130909,0.00
20130910,0.00
20130911,0.00
20130912,1.27
20130913,0.03
20130914,0.00
20130915,0.00
20130916,0.02
20130917,0.00
20130918,0.00
20130919,0.00
20130920,0.00
20130921,0.45
20130922,0.53
20130923,0.00
20130924,0.00
20130925,0.00
20130926,0.00
20130927,0.00
20130928,0.00
20130929,0.00
20130930,0.00
20131001,0.00
20131002,0.00
20131003,0.00
20131004,0.03
20131005,0.00
20131006,0.01
20131007,0.33
20131008,0.00
20131009,0.00
20131010,0.00
20131011,0.00
20131012,0.00
20131013,0.00
20131014,0.00
20131015,0.00
20131016,0.00
20131017,0.01
20131018,0.00
20131019,0.00
20131020,0.00
20131021,0.00
20131022,0.00
20131023,0.00
20131024,0.00
20131025,0.00
20131026,0.00
20131027,0.00
20131028,0.00
20131029,0.00
20131030,0.00
20131031,0.05
20131101,0.05
20131102,0.01
20131103,0.00
20131104,0.00
20131105,0.00
20131106,0.00
20131107,0.08
20131108,0.00
20131109,0.00
20131110,0.00
20131111,0.00
20131112,0.03
20131113,0.00
20131114,0.00
20131115,0.00
20131116,0.05
20131117,0.02
20131118,0.23
20131119,0.00
20131120,0.00
20131121,0.00
20131122,0.07
20131123,0.02
20131124,0.00
20131125,0.00
20131126,0.47
20131127,1.74
20131128,0.00
20131129,0.00
20131130,0.00
20131201,0.00
20131202,0.00
20131203,0.00
20131204,0.00
20131205,0.01
20131206,0.73
20131207,0.13
20131208,0.05
20131209,0.21
20131210,0.22
20131211,0.00
20131212,0.00
20131213,0.00
20131214,0.44
20131215,0.77
20131216,0.00
20131217,0.16
20131218,0.00
20131219,0.00
20131220,0.00
20131221,0.00
20131222,0.01
20131223,0.53
20131224,0.00
20131225,0.00
20131226,0.00
20131227,0.00
20131228,0.00
20131229,1.20
20131230,0.00
20131231,0.00
